EVENT; TIME; ARG1; ARG2
Player_1_Left_Foot_Pos; 20.4387; 1076; 1036
Player_1_Right_Foot_Pos; 20.4387; 1181; 748
Player_1_Head_Pos; 20.4711; 1018; 673
Player_1_Torso_Pos; 20.4711; 929; 787
Player_1_Left_Hand_Pos; 20.4711; 897; 800
Player_1_Right_Hand_Pos; 20.4711; 1155; 752
Player_1_Left_Foot_Pos; 20.4711; 950; 1001
Player_1_Right_Foot_Pos; 20.4711; 1155; 752
Player_1_Head_Pos; 20.4973; 1002; 660
Player_1_Torso_Pos; 20.4973; 903; 735
Player_1_Left_Hand_Pos; 20.4973; 897; 796
Player_1_Right_Hand_Pos; 20.4973; 866; 726
Player_1_Left_Foot_Pos; 20.4973; 1065; 993
Player_1_Right_Foot_Pos; 20.4973; 866; 726
Player_1_Head_Pos; 20.5159; 1008; 616
Player_1_Torso_Pos; 20.5159; 908; 774
Player_1_Left_Hand_Pos; 20.5159; 1055; 695
Player_1_Right_Hand_Pos; 20.5159; 761; 805
Player_1_Left_Foot_Pos; 20.5159; 987; 1102
Player_1_Right_Foot_Pos; 20.5159; 761; 805
Player_1_Head_Pos; 20.5691; 1055; 555
Player_1_Torso_Pos; 20.5691; 955; 743
Player_1_Left_Hand_Pos; 20.5691; 693; 651
Player_1_Right_Hand_Pos; 20.5691; 866; 840
Player_1_Left_Foot_Pos; 20.5691; 1102; 1093
Player_1_Right_Foot_Pos; 20.5691; 866; 840
Player_1_Head_Pos; 20.6187; 1055; 476
Player_1_Torso_Pos; 20.6187; 955; 743
Player_1_Left_Hand_Pos; 20.6187; 703; 665
Player_1_Right_Hand_Pos; 20.6187; 829; 818
Player_1_Left_Foot_Pos; 20.6187; 1008; 1054
Player_1_Right_Foot_Pos; 20.6187; 829; 818
Player_1_Head_Pos; 20.6342; 1044; 450
Player_1_Torso_Pos; 20.6342; 955; 691
Player_1_Left_Hand_Pos; 20.6342; 703; 660
Player_1_Right_Hand_Pos; 20.6342; 855; 813
Player_1_Left_Foot_Pos; 20.6342; 976; 1032
Player_1_Right_Foot_Pos; 20.6342; 855; 813
Player_1_Head_Pos; 20.6793; 1044; 441
Player_1_Torso_Pos; 20.6793; 939; 678
Player_1_Left_Hand_Pos; 20.6793; 708; 647
Player_1_Right_Hand_Pos; 20.6793; 866; 778
Player_1_Left_Foot_Pos; 20.6793; 882; 1006
Player_1_Right_Foot_Pos; 20.6793; 866; 778
Player_1_Head_Pos; 20.6989; 1044; 441
Player_1_Torso_Pos; 20.6989; 934; 669
Player_1_Left_Hand_Pos; 20.6989; 708; 647
Player_1_Right_Hand_Pos; 20.6989; 840; 800
Player_1_Left_Foot_Pos; 20.6989; 924; 1015
Player_1_Right_Foot_Pos; 20.6989; 840; 800
Player_1_Head_Pos; 20.7498; 1050; 450
Player_1_Torso_Pos; 20.7498; 924; 643
Player_1_Left_Hand_Pos; 20.7498; 708; 647
Player_1_Right_Hand_Pos; 20.7498; 855; 783
Player_1_Left_Foot_Pos; 20.7498; 945; 1080
Player_1_Right_Foot_Pos; 20.7498; 855; 783
Player_1_Head_Pos; 20.7681; 1060; 472
Player_1_Torso_Pos; 20.7681; 924; 643
Player_1_Left_Hand_Pos; 20.7681; 708; 647
Player_1_Right_Hand_Pos; 20.7681; 855; 787
Player_1_Left_Foot_Pos; 20.7681; 950; 1067
Player_1_Right_Foot_Pos; 20.7681; 855; 787
Player_1_Head_Pos; 20.8183; 1050; 525
Player_1_Torso_Pos; 20.8183; 918; 638
Player_1_Left_Hand_Pos; 20.8183; 703; 665
Player_1_Right_Hand_Pos; 20.8183; 787; 822
Player_1_Left_Foot_Pos; 20.8183; 939; 1058
Player_1_Right_Foot_Pos; 20.8183; 787; 822
Player_1_Head_Pos; 20.8476; 939; 472
Player_1_Torso_Pos; 20.8476; 1013; 695
Player_1_Left_Hand_Pos; 20.8476; 708; 647
Player_1_Right_Hand_Pos; 20.8476; 861; 787
Player_1_Left_Foot_Pos; 20.8476; 950; 1023
Player_1_Right_Foot_Pos; 20.8476; 861; 787
Player_1_Head_Pos; 20.8636; 855; 511
Player_1_Torso_Pos; 20.8636; 966; 634
Player_1_Left_Hand_Pos; 20.8636; 719; 630
Player_1_Right_Hand_Pos; 20.8636; 871; 756
Player_1_Left_Foot_Pos; 20.8636; 913; 993
Player_1_Right_Foot_Pos; 20.8636; 871; 756
Player_1_Head_Pos; 20.9101; 882; 511
Player_1_Torso_Pos; 20.9101; 971; 634
Player_1_Left_Hand_Pos; 20.9101; 719; 630
Player_1_Right_Hand_Pos; 20.9101; 892; 730
Player_1_Left_Foot_Pos; 20.9101; 908; 1001
Player_1_Right_Foot_Pos; 20.9101; 892; 730
Player_1_Head_Pos; 20.9465; 882; 511
Player_1_Torso_Pos; 20.9465; 971; 634
Player_1_Left_Hand_Pos; 20.9465; 719; 630
Player_1_Right_Hand_Pos; 20.9465; 945; 721
Player_1_Left_Foot_Pos; 20.9465; 945; 1015
Player_1_Right_Foot_Pos; 20.9465; 945; 721
Player_1_Head_Pos; 20.9662; 871; 511
Player_1_Torso_Pos; 20.9662; 971; 634
Player_1_Left_Hand_Pos; 20.9662; 719; 630
Player_1_Right_Hand_Pos; 20.9662; 945; 721
Player_1_Left_Foot_Pos; 20.9662; 945; 1019
Player_1_Right_Foot_Pos; 20.9662; 945; 721
Player_1_Head_Pos; 20.9973; 866; 511
Player_1_Torso_Pos; 20.9973; 971; 634
Player_1_Left_Hand_Pos; 20.9973; 719; 630
Player_1_Right_Hand_Pos; 20.9973; 945; 695
